name,description,price,duration,create_date,last_update_date,count,successor_id,state_id
Nuveen AMT-Free Municipal Credit Income Fund,"Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",29702.49,783,2021-12-20T02:07:38Z,2022-03-24 07:05:07 UTC,95,,2
Arlington Asset Investment Corp,Donec quis orci eget orci vehicula condimentum.,13566.04,944,2021-05-25T12:45:06Z,2021-06-27 13:26:32 UTC,65,,1
"Heartland Express, Inc.",In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,19360.11,553,2021-06-02T11:09:48Z,2021-06-16 07:03:19 UTC,71,,1
"Stock Yards Bancorp, Inc.","Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",27403.59,843,2021-05-14T23:47:08Z,2021-07-24 20:43:38 UTC,151,,2
"Cotiviti Holdings, Inc.","Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",27988.8,72,2021-08-29T03:49:17Z,2021-10-11 01:12:16 UTC,17,,2
Voya Prime Rate Trust,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,23126.05,893,2021-12-07T06:20:26Z,2022-01-02 22:51:18 UTC,206,,2
Nova Measuring Instruments Ltd.,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,4606.47,445,2022-01-27T23:42:34Z,2022-03-27 02:51:50 UTC,278,,2
Milacron Holdings Corp.,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",18912.53,677,2022-01-19T00:58:47Z,2022-04-22 11:31:06 UTC,150,,2
"Cambium Learning Group, Inc.",Aenean lectus. Pellentesque eget nunc.,9436.04,261,2021-11-13T21:09:36Z,2022-01-13 02:22:10 UTC,186,,1
PVH Corp.,Donec dapibus.,3717.24,56,2021-08-22T06:41:19Z,2021-09-18 18:26:58 UTC,156,,1
"Banc of California, Inc.",Nulla mollis molestie lorem.,13355.28,157,2021-12-23T00:57:46Z,2022-02-06 18:51:42 UTC,271,,2
"Aptose Biosciences, Inc.",Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,595.51,253,2021-11-25T22:19:26Z,2022-02-20 17:44:44 UTC,82,,2
"QEP Resources, Inc.",Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,8921.02,640,2021-05-11T14:29:02Z,2021-07-24 19:21:35 UTC,133,,2
"Taubman Centers, Inc.","Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",1779.5,886,2021-05-14T23:09:28Z,2021-05-31 17:04:54 UTC,291,,1
"Wolverine Bancorp, Inc.",Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,1064.41,280,2021-11-17T09:34:31Z,2021-12-31 09:55:37 UTC,278,,1
Accenture plc,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,25527.34,199,2022-01-23T10:05:21Z,2022-03-02 19:22:42 UTC,36,,1
"Comstock Holding Companies, Inc.",Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,13861.95,456,2021-03-13T15:07:41Z,2021-06-21 07:10:24 UTC,39,,1
United Security Bancshares,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.",12260,322,2021-12-01T20:22:16Z,2021-12-23 09:24:34 UTC,82,,2
Bank of America Corporation,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.",12997.14,142,2021-03-18T19:05:36Z,2021-04-24 04:08:15 UTC,31,,1
Banco Bradesco Sa,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,5451.42,899,2021-07-12T23:10:13Z,2021-08-11 13:18:09 UTC,256,,2
PowerShares DWA NASDAQ Momentum Portfolio,Aliquam erat volutpat.,17398.59,436,2021-10-04T20:00:49Z,2021-12-07 06:25:16 UTC,39,,2
Jones Lang LaSalle Incorporated,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,3258.65,507,2021-06-24T11:03:36Z,2021-07-26 07:24:43 UTC,82,,2
CombiMatrix Corporation,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,23008.5,199,2021-12-03T12:18:27Z,2022-02-07 13:57:00 UTC,162,,1
Ceragon Networks Ltd.,Sed vel enim sit amet nunc viverra dapibus.,1460.72,524,2021-09-24T21:10:11Z,2021-12-19 20:13:55 UTC,135,,2
Amerco,Pellentesque eget nunc.,11175.38,790,2021-04-25T17:13:39Z,2021-05-03 21:27:12 UTC,28,,2
"BioScrip, Inc.",Aliquam quis turpis eget elit sodales scelerisque.,28408.57,385,2021-05-30T01:53:51Z,2021-08-22 17:55:37 UTC,298,,1
"Meridian Waste Solutions, Inc",Suspendisse accumsan tortor quis turpis. Sed ante.,9003.06,995,2021-04-26T13:57:47Z,2021-05-04 10:16:55 UTC,106,,1
"Houlihan Lokey, Inc.",Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.,6702.41,333,2021-05-06T01:45:24Z,2021-05-07 20:09:19 UTC,21,,1
Uniti Group Inc.,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",28591.03,60,2021-12-21T15:42:19Z,2022-03-20 12:32:44 UTC,134,,1
Hi-Crush Partners LP,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",27784.11,464,2022-02-10T04:53:03Z,2022-05-20 08:37:46 UTC,202,,1
"Overseas Shipholding Group, Inc.",Phasellus in felis.,8759.63,29,2021-07-27T12:50:39Z,2021-09-25 23:51:07 UTC,145,,1
"Brinker International, Inc.",Integer non velit.,21044.31,527,2021-07-03T02:45:29Z,2021-07-30 20:22:47 UTC,190,,1
"MFA Financial, Inc.",Sed ante. Vivamus tortor.,27196.97,991,2021-08-14T21:48:51Z,2021-09-26 04:13:04 UTC,58,,1
"Northfield Bancorp, Inc.",Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,10901.2,399,2021-09-03T06:56:29Z,2021-10-12 11:50:36 UTC,20,,1
International Business Machines Corporation,Morbi ut odio.,21543.88,203,2021-12-12T20:55:10Z,2022-01-26 01:34:46 UTC,130,,2
Six Flags Entertainment Corporation New,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",3903.51,78,2021-06-30T10:10:57Z,2021-10-05 10:22:47 UTC,257,,1
"Investment Technology Group, Inc.",Etiam justo. Etiam pretium iaculis justo.,13182.02,732,2021-05-21T23:09:21Z,2021-07-08 12:23:12 UTC,193,,1
"Avinger, Inc.",In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,10487.96,616,2022-02-08T02:52:38Z,2022-03-20 10:37:32 UTC,44,,2
Nomad Foods Limited,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,7353.24,223,2021-09-13T00:53:11Z,2021-11-05 04:45:46 UTC,266,,1
"TRI Pointe Group, Inc.","Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",25101.5,919,2021-08-18T20:30:52Z,2021-09-30 22:17:21 UTC,193,,1
"Chuy's Holdings, Inc.","Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",17163.68,314,2021-05-21T18:18:07Z,2021-06-23 21:28:09 UTC,251,,2
Capital One Financial Corporation,"Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",24972.77,297,2021-05-28T03:48:28Z,2021-06-25 03:39:28 UTC,96,,2
"Blackhawk Network Holdings, Inc.",Proin interdum mauris non ligula pellentesque ultrices.,17823.62,838,2021-07-27T09:59:40Z,2021-10-25 15:51:23 UTC,32,,2
Grupo Televisa S.A.,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,26459.1,127,2021-10-06T17:24:22Z,2022-01-12 02:24:28 UTC,113,,1
Southern California Edison Company,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",780.71,437,2021-06-08T03:10:42Z,2021-07-21 00:28:46 UTC,133,,1
Yulong Eco-Materials Limited,Nulla mollis molestie lorem. Quisque ut erat.,20379.04,44,2021-06-29T18:51:25Z,2021-09-02 06:54:41 UTC,179,,2
Public Storage,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",3515.27,889,2021-11-14T19:10:51Z,2022-02-16 21:44:06 UTC,179,,1
"Tortoise MLP Fund, Inc.","Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",10108.36,239,2021-11-08T17:09:58Z,2022-01-22 17:16:17 UTC,86,,2
BioShares Biotechnology Clinical Trials Fund,Suspendisse potenti.,20545.74,238,2022-01-02T05:51:46Z,2022-02-15 16:24:28 UTC,11,,1
MutualFirst Financial Inc.,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",27189.98,797,2021-04-29T20:40:57Z,2021-08-05 15:42:14 UTC,85,,1
Kornit Digital Ltd.,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",22142.32,826,2021-08-01T18:58:31Z,2021-10-19 06:27:23 UTC,122,,2
Univest Corporation of Pennsylvania,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",20609.51,252,2021-11-22T18:00:02Z,2022-01-29 02:23:08 UTC,187,,1
"Everspin Technologies, Inc.",Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,3394.54,525,2021-04-19T09:02:13Z,2021-07-02 19:11:45 UTC,84,,1
FIRST REPUBLIC BANK,Morbi quis tortor id nulla ultrices aliquet.,27068.15,608,2021-06-29T12:19:05Z,2021-07-04 21:05:59 UTC,240,,1
GP Investments Acquisition Corp.,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",22026.13,210,2021-12-24T21:48:51Z,2022-03-26 11:44:55 UTC,110,,2
"Golden Entertainment, Inc.","Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",24964.75,245,2022-01-30T20:39:24Z,2022-04-11 23:05:17 UTC,120,,1
Orrstown Financial Services Inc,Aliquam erat volutpat. In congue.,28528.73,908,2021-07-26T18:12:08Z,2021-08-27 11:52:05 UTC,142,,2
"AeroVironment, Inc.","Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",17983.19,233,2021-07-28T05:55:57Z,2021-09-02 05:17:57 UTC,66,,1
Eaton Vance Tax Advantaged Dividend Income Fund,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",14912.39,308,2021-11-07T16:25:49Z,2022-01-02 18:06:41 UTC,294,,1
"Argo Group International Holdings, Ltd.","Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",4053.28,403,2021-09-19T04:28:24Z,2021-10-09 00:25:49 UTC,250,,1
Wells Fargo & Company,Nulla ut erat id mauris vulputate elementum. Nullam varius.,6534.56,780,2021-12-19T10:47:17Z,2022-01-10 03:45:33 UTC,283,,1
Nuveen New York AMT-Free Quality Municipal,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",13831.07,904,2021-06-09T14:07:39Z,2021-07-07 07:44:30 UTC,48,,1
"Bloomin' Brands, Inc.","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",24703.2,188,2021-04-21T04:36:12Z,2021-07-29 17:47:29 UTC,247,,2
Constellation Brands Inc,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",14856.55,73,2021-12-26T10:16:35Z,2022-02-07 01:01:33 UTC,246,,2
Ampco-Pittsburgh Corporation,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",13084.39,873,2021-03-30T06:49:57Z,2021-04-23 08:29:58 UTC,56,,1
John Bean Technologies Corporation,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,7181.71,884,2022-01-23T12:24:47Z,2022-03-22 21:11:37 UTC,74,,2
Redhill Biopharma Ltd.,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",14855.86,208,2021-07-04T09:56:43Z,2021-07-21 17:23:57 UTC,123,,2
"T2 Biosystems, Inc.","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",27280.76,222,2022-01-16T21:43:25Z,2022-04-26 14:28:20 UTC,129,,2
Hersha Hospitality Trust,Praesent blandit.,8442.16,60,2021-09-17T02:06:45Z,2021-12-11 18:34:14 UTC,154,,2
"Micronet Enertec Technologies, Inc.","Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",15047.68,276,2021-09-12T02:56:47Z,2021-11-30 08:34:43 UTC,238,,2
Booz Allen Hamilton Holding Corporation,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,27432.58,650,2021-04-11T02:36:38Z,2021-05-04 10:48:29 UTC,168,,1
"Oncobiologics, Inc.","Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",5443.4,785,2021-04-04T13:53:47Z,2021-04-15 11:33:57 UTC,141,,1
"BroadVision, Inc.",Sed accumsan felis.,17258.73,302,2021-03-08T21:55:39Z,2021-05-26 03:32:38 UTC,114,,2
Voya International High Dividend Equity Income Fund,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",14438.05,560,2022-01-19T15:31:45Z,2022-01-30 06:31:58 UTC,208,,1
Nordic American Offshore Ltd,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,1673.19,340,2021-04-04T05:41:58Z,2021-06-19 05:06:00 UTC,3,,2
American Water Works,Proin at turpis a pede posuere nonummy.,18026.51,395,2021-04-24T19:33:07Z,2021-07-23 18:42:23 UTC,179,,1
Western Union Company (The),"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",3247.15,818,2021-09-11T17:50:03Z,2021-10-30 12:48:11 UTC,20,,1
PowerShares KBW High Dividend Yield Financial Portfolio,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",13403.92,204,2021-09-27T20:52:14Z,2021-10-30 11:04:21 UTC,126,,2
PowerShares DWA Momentum & Low Volatility Rotation Portfolio,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",22463.86,333,2022-01-07T19:15:15Z,2022-03-25 09:42:29 UTC,171,,1
The Carlyle Group L.P.,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,13959.46,142,2021-03-21T01:25:42Z,2021-05-03 22:02:32 UTC,132,,2
"American Financial Group, Inc.","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",25424.2,553,2021-08-07T00:21:06Z,2021-09-09 22:27:02 UTC,290,,2
Kinross Gold Corporation,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",1283.71,703,2022-01-12T20:13:02Z,2022-01-31 14:12:32 UTC,187,,2
Willis Towers Watson Public Limited Company,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",20780.52,876,2021-12-28T18:12:20Z,2022-03-25 07:29:43 UTC,171,,1
SEACOR Marine Holdings Inc.,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,7911.63,732,2021-11-02T03:56:58Z,2021-12-13 19:39:50 UTC,80,,2
"First US Bancshares, Inc.",Nunc rhoncus dui vel sem.,25965.67,627,2022-01-13T02:50:12Z,2022-04-01 06:49:17 UTC,189,,2
"Pinnacle Entertainment, Inc.","Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",9865.55,969,2021-05-15T05:30:41Z,2021-07-23 23:24:06 UTC,185,,2
"Ingles Markets, Incorporated",Mauris sit amet eros.,1790.57,582,2021-04-21T07:20:55Z,2021-05-04 04:04:44 UTC,65,,2
Danaos Corporation,Nunc purus.,13914.12,87,2022-01-01T05:32:17Z,2022-01-03 15:37:19 UTC,115,,2
Oracle Corporation,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.",21080.49,36,2021-08-17T06:55:22Z,2021-11-05 10:49:40 UTC,66,,2
Dover Corporation,"Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",21048,838,2021-08-26T17:15:52Z,2021-11-01 19:11:56 UTC,265,,2
WashingtonFirst Bankshares Inc,"Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",14880.72,78,2021-12-28T10:29:34Z,2022-01-07 01:35:46 UTC,48,,2
"MiMedx Group, Inc","Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",6225.14,609,2021-11-11T01:16:30Z,2022-01-31 12:13:10 UTC,274,,2
Intellipharmaceutics International Inc.,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",20995.4,846,2021-03-15T22:04:41Z,2021-06-03 15:37:30 UTC,32,,1
Assured Guaranty Ltd.,Morbi ut odio.,18761.99,98,2021-07-11T17:59:15Z,2021-10-20 07:22:34 UTC,229,,1
"NRG Yield, Inc.","Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",17919.03,827,2021-04-18T17:27:43Z,2021-05-11 17:40:10 UTC,277,,1
The Long-Term Care ETF,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.",2944.43,917,2021-04-05T15:16:13Z,2021-05-16 17:21:27 UTC,189,,1
Evogene Ltd.,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",13958.07,679,2021-10-03T05:07:52Z,2021-11-15 10:20:51 UTC,286,,1
Elbit Systems Ltd.,Praesent id massa id nisl venenatis lacinia.,17949.01,765,2021-11-09T23:05:54Z,2022-02-05 18:21:56 UTC,106,,1
"Carrols Restaurant Group, Inc.","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",10479.69,218,2021-09-21T15:49:29Z,2021-11-09 03:15:55 UTC,255,,1
"Goldman Sachs Group, Inc. (The)",Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,9338.25,311,2021-11-01T22:59:42Z,2021-12-22 15:54:33 UTC,58,,1
"Halozyme Therapeutics, Inc.",Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,13334.54,144,2022-01-14T05:16:35Z,2022-03-20 01:17:18 UTC,12,,2
MGC Diagnostics Corporation,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",17593.65,313,2021-12-29T00:54:40Z,2022-01-16 09:43:10 UTC,101,,2
Mountain Province Diamonds Inc.,Nulla tellus.,4044.68,118,2021-05-05T12:03:31Z,2021-07-05 01:22:12 UTC,148,,1
Orrstown Financial Services Inc,Donec semper sapien a libero.,2763.29,44,2021-04-29T21:16:24Z,2021-05-06 01:59:37 UTC,178,,2
Sutherland Asset Management Corporation,Integer non velit.,7977.59,347,2021-11-06T11:16:05Z,2021-12-27 08:32:00 UTC,19,,2
First Trust NASDAQ-100 Ex-Technology Sector Index Fund,Sed ante.,16274.87,50,2021-04-19T05:09:55Z,2021-05-26 04:42:25 UTC,222,,2
